Time,Channel A
(ms),(mV)

0.31500000,11.02362156
0.31600000,9.84251881
0.31700000,11.02362156
0.31800000,10.62992096
0.31900000,9.84251881
0.32000000,9.05511761
0.32100000,10.23621941
0.32200000,9.05511761
0.32300000,10.23621941
0.32400000,5.90551138
0.32500000,11.02362156
0.32600000,11.02362156
0.32700000,9.05511761
0.32800000,9.05511761
0.32900000,11.02362156
0.33000000,9.05511761
0.33100000,11.81102276
0.33200000,7.87401533
0.33300000,10.62992096
0.33400000,9.05511761
0.33500000,10.23621941
0.33600000,10.62992096
0.33700000,7.48031425
0.33800000,10.23621941
0.33900000,10.62992096
0.34000000,8.26771641
0.34100000,11.41732216
0.34200000,8.26771641
0.34300000,11.41732216
0.34400000,10.23621941
0.34500000,12.20472336
0.34600000,9.05511761
0.34700000,9.05511761
0.34800000,11.02362156
0.34900000,12.59842396
0.35000000,9.44881821
0.35100000,12.20472336
0.35200000,8.66141701
0.35300000,9.84251881
0.35400000,10.62992096
0.35500000,9.84251881
0.35600000,8.66141701
0.35700000,9.84251881
0.35800000,8.26771641
0.35900000,11.41732216
0.36000000,9.44881821
0.36100000,10.62992096
0.36200000,10.62992096
0.36300000,11.02362156
0.36400000,12.20472336
0.36500000,12.20472336
0.36600000,11.02362156
0.36700000,10.23621941
0.36800000,9.84251881
0.36900000,11.81102276
0.37000000,10.23621941
0.37100000,12.99212551
0.37200000,9.84251881
0.37300000,11.41732216
0.37400000,11.41732216
0.37500000,11.02362156
0.37600000,12.59842396
0.37700000,13.38582611
0.37800000,10.23621941
0.37900000,11.81102276
0.38000000,9.84251881
0.38100000,12.99212551
0.38200000,11.41732216
0.38300000,11.02362156
0.38400000,12.59842396
0.38500000,11.02362156
0.38600000,11.41732216
0.38700000,12.99212551
0.38800000,10.62992096
0.38900000,12.20472336
0.39000000,11.02362156
0.39100000,13.38582611
0.39200000,12.20472336
0.39300000,10.62992096
0.39400000,12.59842396
0.39500000,11.81102276
0.39600000,12.20472336
0.39700000,14.56692791
0.39800000,11.41732216
0.39900000,12.20472336
0.40000000,11.41732216
0.40100000,12.20472336
0.40200000,12.99212551
0.40300000,10.23621941
0.40400000,11.81102276
0.40500000,11.81102276
0.40600000,11.81102276
0.40700000,12.99212551
0.40800000,10.62992096
0.40900000,12.20472336
0.41000000,11.41732216
0.41100000,10.62992096
0.41200000,10.23621941
0.41300000,11.02362156
0.41400000,10.23621941
0.41500000,12.59842396
0.41600000,10.62992096
0.41700000,11.02362156
0.41800000,10.62992096
0.41900000,12.59842396
0.42000000,11.41732216
0.42100000,9.44881821
0.42200000,11.81102276
0.42300000,9.44881821
0.42400000,11.81102276
0.42500000,10.62992096
0.42600000,9.84251881
0.42700000,10.62992096
0.42800000,9.84251881
0.42900000,12.20472336
0.43000000,11.41732216
0.43100000,9.84251881
0.43200000,12.59842396
0.43300000,9.05511761
0.43400000,11.41732216
0.43500000,9.84251881
0.43600000,8.66141701
0.43700000,9.05511761
0.43800000,11.81102276
0.43900000,9.84251881
0.44000000,11.02362156
0.44100000,8.66141701
0.44200000,11.41732216
0.44300000,9.84251881
0.44400000,11.81102276
0.44500000,11.02362156
0.44600000,10.23621941
0.44700000,9.05511761
0.44800000,10.23621941
0.44900000,9.44881821
0.45000000,11.02362156
0.45100000,8.26771641
0.45200000,11.41732216
0.45300000,9.84251881
0.45400000,12.20472336
0.45500000,11.41732216
0.45600000,8.66141701
0.45700000,8.66141701
0.45800000,11.02362156
0.45900000,8.66141701
0.46000000,11.41732216
0.46100000,9.84251881
0.46200000,9.84251881
0.46300000,9.84251881
0.46400000,11.02362156
0.46500000,12.20472336
0.46600000,11.02362156
0.46700000,9.05511761
0.46800000,12.20472336
0.46900000,8.66141701
0.47000000,11.81102276
0.47100000,8.66141701
0.47200000,9.05511761
0.47300000,9.05511761
0.47400000,10.23621941
0.47500000,10.62992096
0.47600000,11.02362156
0.47700000,9.44881821
0.47800000,10.23621941
0.47900000,8.66141701
0.48000000,11.41732216
0.48100000,8.66141701
0.48200000,9.84251881
0.48300000,9.84251881
0.48400000,9.05511761
0.48500000,11.02362156
0.48600000,11.41732216
0.48700000,11.02362156
0.48800000,11.02362156
0.48900000,9.05511761
0.49000000,11.81102276
0.49100000,10.23621941
0.49200000,11.02362156
0.49300000,11.02362156
0.49400000,8.66141701
0.49500000,11.81102276
0.49600000,12.59842396
0.49700000,11.41732216
0.49800000,12.20472336
0.49900000,12.59842396
0.50000000,12.20472336
0.50100000,12.59842396
0.50200000,11.41732216
0.50300000,13.38582611
0.50400000,7.87401533
0.50500000,11.41732216
0.50600000,12.20472336
0.50700000,12.99212551
0.50800000,14.17322731
0.50900000,12.59842396
0.51000000,11.41732216
0.51100000,13.77952671
0.51200000,12.20472336
0.51300000,14.96062851
0.51400000,9.05511761
0.51500000,12.99212551
0.51600000,12.20472336
0.51700000,11.81102276
0.51800000,14.96062851
0.51900000,13.38582611
0.52000000,11.02362156
0.52100000,12.99212551
0.52200000,12.20472336
0.52300000,12.20472336
0.52400000,10.23621941
0.52500000,11.81102276
0.52600000,12.20472336
0.52700000,13.77952671
0.52800000,14.56692791
0.52900000,11.02362156
0.53000000,13.38582611
0.53100000,9.84251881
0.53200000,12.59842396
0.53300000,11.02362156
0.53400000,12.59842396
0.53500000,10.62992096
0.53600000,11.41732216
0.53700000,12.99212551
0.53800000,13.77952671
0.53900000,9.84251881
0.54000000,13.77952671
0.54100000,9.44881821
0.54200000,13.38582611
0.54300000,11.81102276
0.54400000,11.41732216
0.54500000,9.44881821
0.54600000,9.84251881
0.54700000,11.02362156
0.54800000,9.05511761
0.54900000,11.02362156
0.55000000,12.99212551
0.55100000,10.23621941
0.55200000,12.20472336
0.55300000,10.62992096
0.55400000,12.99212551
0.55500000,9.84251881
0.55600000,9.05511761
0.55700000,9.44881821
0.55800000,8.66141701
0.55900000,10.62992096
0.56000000,10.62992096
0.56100000,10.23621941
0.56200000,11.41732216
0.56300000,8.26771641
0.56400000,11.81102276
0.56500000,9.44881821
0.56600000,11.41732216
0.56700000,9.84251881
0.56800000,7.08661366
0.56900000,10.23621941
0.57000000,9.05511761
0.57100000,10.62992096
0.57200000,9.44881821
0.57300000,9.44881821
0.57400000,11.02362156
0.57500000,11.02362156
0.57600000,11.02362156
0.57700000,9.44881821
0.57800000,8.66141701
0.57900000,11.02362156
0.58000000,9.84251881
0.58100000,11.02362156
0.58200000,7.48031425
0.58300000,10.62992096
0.58400000,8.66141701
0.58500000,11.02362156
0.58600000,10.23621941
0.58700000,7.87401533
0.58800000,9.84251881
0.58900000,9.05511761
0.59000000,9.84251881
0.59100000,9.84251881
0.59200000,9.05511761
0.59300000,9.44881821
0.59400000,9.05511761
0.59500000,11.41732216
0.59600000,9.05511761
0.59700000,9.44881821
0.59800000,10.62992096
0.59900000,7.48031425
0.60000000,12.20472336
0.60100000,9.44881821
0.60200000,11.02362156
0.60300000,8.66141701
0.60400000,10.62992096
0.60500000,11.02362156
0.60600000,11.02362156
0.60700000,11.41732216
0.60800000,11.41732216
0.60900000,8.66141701
0.61000000,11.81102276
0.61100000,10.23621941
0.61200000,11.81102276
0.61300000,9.05511761
0.61400000,10.62992096
0.61500000,11.02362156
0.61600000,10.23621941
0.61700000,12.99212551
0.61800000,12.20472336
0.61900000,9.05511761
0.62000000,11.41732216
0.62100000,10.62992096
0.62200000,12.59842396
0.62300000,10.62992096
0.62400000,9.84251881
0.62500000,11.41732216
0.62600000,9.44881821
0.62700000,14.56692791
0.62800000,10.62992096
0.62900000,12.59842396
0.63000000,10.23621941
0.63100000,11.02362156
0.63200000,11.02362156
0.63300000,11.41732216
0.63400000,11.41732216
0.63500000,9.44881821
0.63600000,11.41732216
0.63700000,12.99212551
0.63800000,9.84251881
0.63900000,12.59842396
0.64000000,8.26771641
0.64100000,11.41732216
0.64200000,12.20472336
0.64300000,12.99212551
0.64400000,11.81102276
0.64500000,9.05511761
0.64600000,12.20472336
0.64700000,10.62992096
0.64800000,11.81102276
0.64900000,12.59842396
0.65000000,11.02362156
0.65100000,10.23621941
0.65200000,9.44881821
0.65300000,11.02362156
0.65400000,11.81102276
0.65500000,8.66141701
0.65600000,13.38582611
0.65700000,9.44881821
0.65800000,12.59842396
0.65900000,11.02362156
0.66000000,11.81102276
0.66100000,10.23621941
0.66200000,9.05511761
0.66300000,9.84251881
0.66400000,12.20472336
0.66500000,8.26771641
0.66600000,13.77952671
0.66700000,9.05511761
0.66800000,11.02362156
0.66900000,13.38582611
0.67000000,10.62992096
0.67100000,10.23621941
0.67200000,10.62992096
0.67300000,11.02362156
0.67400000,11.41732216
0.67500000,9.05511761
0.67600000,11.41732216
0.67700000,9.44881821
0.67800000,9.44881821
0.67900000,12.99212551
0.68000000,9.84251881
0.68100000,10.62992096
0.68200000,7.87401533
0.68300000,10.23621941
0.68400000,10.23621941
0.68500000,8.66141701
0.68600000,9.84251881
0.68700000,10.62992096
0.68800000,9.44881821
0.68900000,12.20472336
0.69000000,7.87401533
0.69100000,10.23621941
0.69200000,9.44881821
0.69300000,9.84251881
0.69400000,9.05511761
0.69500000,9.05511761
0.69600000,9.84251881
0.69700000,10.62992096
0.69800000,9.05511761
0.69900000,10.62992096
0.70000000,9.05511761
0.70100000,11.02362156
0.70200000,11.02362156
0.70300000,7.48031425
0.70400000,8.26771641
0.70500000,8.26771641
0.70600000,10.62992096
0.70700000,9.84251881
0.70800000,8.66141701
0.70900000,9.44881821
0.71000000,10.62992096
0.71100000,9.05511761
0.71200000,11.41732216
0.71300000,6.29921198
0.71400000,8.66141701
0.71500000,8.26771641
0.71600000,8.26771641
0.71700000,8.66141701
0.71800000,7.87401533
0.71900000,9.05511761
0.72000000,11.81102276
0.72100000,7.48031425
0.72200000,11.41732216
0.72300000,7.48031425
0.72400000,10.62992096
0.72500000,8.66141701
0.72600000,8.26771641
0.72700000,9.05511761
0.72800000,7.87401533
0.72900000,10.62992096
0.73000000,11.41732216
0.73100000,7.48031425
0.73200000,9.84251881
0.73300000,8.66141701
0.73400000,8.26771641
0.73500000,8.66141701
0.73600000,8.26771641
0.73700000,11.02362156
0.73800000,9.05511761
0.73900000,13.77952671
0.74000000,10.62992096
0.74100000,10.62992096
0.74200000,11.41732216
0.74300000,9.44881821
0.74400000,9.84251881
0.74500000,9.84251881
0.74600000,10.62992096
0.74700000,11.41732216
0.74800000,9.84251881
0.74900000,12.99212551
0.75000000,9.84251881
0.75100000,10.23621941
0.75200000,13.77952671
0.75300000,10.62992096
0.75400000,9.84251881
0.75500000,8.26771641
0.75600000,12.20472336
0.75700000,12.59842396
0.75800000,11.41732216
0.75900000,11.41732216
0.76000000,12.20472336
